SampleID	Experiment	Farm	Year	farm_number	section	row	block	section_block	farm_block	year_farm_block	farm_section_block	year_farm_section_block	farm_section_block_treatment	year_farm_section_block_treatment	Sample_type	DNA	DNA_sample_label	DNA_sample_name	DNA_seq_number	DNA_plate_number	DNA_col	DNA_row	Tissue	DNA_control	Treatment	Seed_source	Disinfection	Inoculation	plot_level	soil_moisture_at_planting	plants_at_planting	approx_plants_at_harvest	cob weight grams	cob_weight_g_plot_avg	max_cob_weight_plot	is_disease_score	seed_weight_g_plot	seed_weight_g_block	lb_seeds_plot	lb_seeds_block	cob_count_wk12	cob_count	cobs_per_plant	seeds_per_cob_g	Seeds_per_plant	disease	disease_plot_avg	Height	Height_avg	copies_ITS_all	copies_Fus_all	copies_Fverti_all	copies_Fum_all	perc_Fus_ITS	perc_Fvert_Fus	perc_Fum_Fus	log_copies_ITS_all	log_copies_Fus_all	log_copies_Fverti_all	log_copies_Fum_all
Sample55	1	AS	2014	1	2	3	3	2.3	1.3	2014.1.3	AS.2.3	2014.AS.2.3	1.2.3.3	2014.1.2.3.3	Crown	1	A.3.3	AS.14.CR8.2.3.3	55	1	7	G	Crown	0	3	3	0	1	0																	0.4618363255					0.1181306619							0.0484925571		
Sample56	1	AS	2014	1	2	3	3	2.3	1.3	2014.1.3	AS.2.3	2014.AS.2.3	1.2.3.4	2014.1.2.3.4	Crown	1	A.3.4	AS.14.CR8.2.3.4	56	1	7	H	Crown	0	4	3	1	1	0																	0.5873689192					6.8643083134							0.8956605313		
Sample57	1	OSU	2014	3	2	4	4	2.4	3.4	2014.3.4	OSU.2.4	2014.OSU.2.4	3.2.4.4	2014.3.2.4.4	Crown	1	14.4.4	OSU.14.CR8.2.4.4	57	1	8	A	Crown	0	4	3	1	1	0																	0.6159620098					0.1614828361							0.0650127964		
Sample58	1	OSU	2014	3	2	2	2	2.2	3.2	2014.3.2	OSU.2.2	2014.OSU.2.2	3.2.2.6	2014.3.2.2.6	Crown	1	11.2.6	OSU.14.CR8.2.2.6	58	1	8	B	Crown	0	6	4	1	0	0																	0.7794414613					0.1942101273							0.0770807498		
Sample59	1	OSU	2014	3	2	3	3	2.3	3.3	2014.3.3	OSU.2.3	2014.OSU.2.3	3.2.3.8	2014.3.2.3.8	Crown	1	12.3.8	OSU.14.CR8.2.3.8	59	1	8	C	Crown	0	8	4	1	1	0																	0.6186240791					0.1234356838							0.0505482143		
Sample60	1	OSU	2014	3	2	4	4	2.4	3.4	2014.3.4	OSU.2.4	2014.OSU.2.4	3.2.4.3	2014.3.2.4.3	Crown	1	12.4.3	OSU.14.CR8.2.4.3	60	1	8	D	Crown	0	3	3	0	1	0																	0.6166091618					0.1774734711							0.0709511311		
Sample61	1	OSU	2014	3	2	3	3	2.3	3.3	2014.3.3	OSU.2.3	2014.OSU.2.3	3.2.3.5	2014.3.2.3.5	Crown	1	16.3.5	OSU.14.CR8.2.3.5	61	1	8	E	Crown	0	5	4	0	0	0																	0.6725040136														
Sample62	1	OSU	2014	3	2	1	1	2.1	3.1	2014.3.1	OSU.2.1	2014.OSU.2.1	3.2.1.7	2014.3.2.1.7	Crown	1	14.1.7	OSU.14.CR8.2.1.7	62	1	8	F	Crown	0	7	4	0	1	0																	0.7321414285					0.1292844245							0.0528033382		
Sample63	1	OSU	2014	3	1	4	4	1.4	3.4	2014.3.4	OSU.1.4	2014.OSU.1.4	3.1.4.7	2014.3.1.4.7	Crown	1	2.6.7	OSU.14.CR8.2.6.7	63	1	8	G	Crown	0	7	4	0	1	0																	0.6962123293					0.8914361777							0.2767916916		
Sample64	1	OSU	2014	3	2	4	4	2.4	3.4	2014.3.4	OSU.2.4	2014.OSU.2.4	3.2.4.3	2014.3.2.4.3	Crown	1	B.4.3	OSU.14.CR8.2.4.3	64	1	8	H	Crown	0	3	3	0	1	0																	0.8002952645					0.2087925167							0.0823517627		
Sample65	1	PC	2014	2	1	4	4	1.4	2.4	2014.2.4	PC.1.4	2014.PC.1.4	2.1.4.4	2014.2.1.4.4	Crown	1	C.4.4	PC.14.CR8.1.4.4	65	1	9	A	Crown	0	4	4	1	1	0																	0.73531321					0.532108985							0.1852896595		
Sample66	1	PC	2014	2	2	3	3	2.3	2.3	2014.2.3	PC.2.3	2014.PC.2.3	2.2.3.2	2014.2.2.3.2	Crown	1	E.3.2	PC.14.CR8.2.3.2	66	1	9	B	Crown	0	2	4	1	0	0																	0.7062568897					0.2541675497							0.0983555597		
Sample67	1	PC	2014	2	2	3	3	2.3	2.3	2014.2.3	PC.2.3	2014.PC.2.3	2.2.3.3	2014.2.2.3.3	Crown	1	F.3.3	PC.14.CR8.2.3.3	67	1	9	C	Crown	0	3	4	0	1	0																	0.5639395555					0.266300832							0.1025368922		
Sample68	1	PC	2014	2	1	3	3	1.3	2.3	2014.2.3	PC.1.3	2014.PC.1.3	2.1.3.4	2014.2.1.3.4	Crown	1	A.3.4	PC.14.CR8.1.3.4	68	1	9	D	Crown	0	4	4	1	1	0																	0.5281265102					0.2226393806							0.0872983801		
Sample69	1														DNA_control	1		plate1.ctl1	69	1	9	E	DNA_control	1																																				
Sample70	1														DNA_control	1		plate1.ctl2	70	1	9	F	DNA_control	1																																				
Sample71	1														DNA_control	1		plate1.ctl3	71	1	9	G	DNA_control	1																																				
Sample72	1														DNA_control	1		plate1.ctl4	72	1	9	H	DNA_control	1																																				
Sample73	1	OSU	2013	3	0	1	1	0.1	3.1	2013.3.1	OSU.0.1	2013.OSU.0.1	3.0.1.1	2013.3.0.1.1	Crown	1		OSU.13.CR8.0.1.1	73	1	10	A	Crown	0	1	1	0	0	0	0.0853552895																0.7027682119					0.2389866073							0.0930666119		
Sample74	1	OSU	2013	3	0	4	4	0.4	3.4	2013.3.4	OSU.0.4	2013.OSU.0.4	3.0.4.1	2013.3.0.4.1	Crown	1		OSU.13.CR8.0.4.1	74	1	10	B	Crown	0	1	1	0	0	0	0.0853552895																0.7257615894					0.1158976806							0.0476243749		
Sample75	1	OSU	2013	3	0	1	1	0.1	3.1	2013.3.1	OSU.0.1	2013.OSU.0.1	3.0.1.2	2013.3.0.1.2	Crown	1		OSU.13.CR8.0.1.2	75	1	10	C	Crown	0	2	1	1	0	0	0.0944165317																0.6772582781					0.3666734516							0.1356647581		
Sample76	1	OSU	2013	3	0	4	4	0.4	3.4	2013.3.4	OSU.0.4	2013.OSU.0.4	3.0.4.2	2013.3.0.4.2	Crown	1		OSU.13.CR8.0.4.2	76	1	10	D	Crown	0	2	1	1	0	0	0.0944165317																0.8225562914					0.0971636546							0.0402714124		
Sample77	1	OSU	2013	3	0	1	1	0.1	3.1	2013.3.1	OSU.0.1	2013.OSU.0.1	3.0.1.3	2013.3.0.1.3	Crown	1		OSU.13.CR8.0.1.3	77	1	10	E	Crown	0	3	2	0	0	0	0.0783454209																0.6946556291					0.2967140133							0.1128442042		
Sample78	1	OSU	2013	3	0	4	4	0.4	3.4	2013.3.4	OSU.0.4	2013.OSU.0.4	3.0.4.3	2013.3.0.4.3	Crown	1		OSU.13.CR8.0.4.3	78	1	10	F	Crown	0	3	2	0	0	0	0.0783454209																0.7428145695					0.1457378241							0.0590852506		
Sample79	1	OSU	2013	3	0	1	1	0.1	3.1	2013.3.1	OSU.0.1	2013.OSU.0.1	3.0.1.4	2013.3.0.1.4	Crown	1		OSU.13.CR8.0.1.4	79	1	10	G	Crown	0	4	2	1	0	0	0.082223072																0.6285562914					0.1039507184							0.0429496864		
Sample80	1	OSU	2013	3	0	4	4	0.4	3.4	2013.3.4	OSU.0.4	2013.OSU.0.4	3.0.4.4	2013.3.0.4.4	Crown	1		OSU.13.CR8.0.4.4	80	1	10	H	Crown	0	4	2	1	0	0	0.082223072																0.7380993377					0.2241472105							0.0878336473		
Sample81	1	OSU	2013	3	0	2	2	0.2	3.2	2013.3.2	OSU.0.2	2013.OSU.0.2	3.0.2.1	2013.3.0.2.1	Crown	1		OSU.13.CR8.0.2.1	81	1	11	A	Crown	0	1	1	0	0	0	0.0944777658																0.6497549669					0.5372838962							0.1867540778		
Sample82	1	OSU	2013	3	0	5	5	0.5	3.5	2013.3.5	OSU.0.5	2013.OSU.0.5	3.0.5.1	2013.3.0.5.1	Crown	1		OSU.13.CR8.0.5.1	82	1	11	B	Crown	0	1	1	0	0	0	0.0944777658																0.6728410596					0.0731066473							0.0306428851		
Sample83	1	OSU	2013	3	0	2	2	0.2	3.2	2013.3.2	OSU.0.2	2013.OSU.0.2	3.0.2.2	2013.3.0.2.2	Crown	1		OSU.13.CR8.0.2.2	83	1	11	C	Crown	0	2	1	1	0	0	0.0671357035																0.7347615894					0.097061447							0.0402309533		
Sample84	1	OSU	2013	3	0	5	5	0.5	3.5	2013.3.5	OSU.0.5	2013.OSU.0.5	3.0.5.2	2013.3.0.5.2	Crown	1		OSU.13.CR8.0.5.2	84	1	11	D	Crown	0	2	1	1	0	0	0.0671357035																0.7385496689					0.2439236405							0.0947937216		
